Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI,Bottom
199,3.993592,1.995759,0,1.406612,1.20E-04,0
201,3.728994,1.994158,0,1.410191,1.22E-04,0
203,3.563093,1.992596,0,1.414549,1.25E-04,0
205,3.495889,1.991048,0,1.418873,1.28E-04,0
207,3.428685,1.989499,0,1.423197,1.30E-04,0
209,3.36079,1.987969,0,1.425887,1.33E-04,0
211,3.292206,1.986455,0,1.432291,1.43E-04,0
213,3.223622,1.984942,0,1.439679,1.52E-04,0
215,3.147462,1.983068,0,1.447067,1.59E-04,0
217,3.063728,1.980833,0,1.446662,1.55E-04,0
219,2.961095,1.97932,0,1.442602,1.51E-04,0
221,2.854363,1.977807,0,1.441895,1.48E-04,0
223,2.712652,1.976294,0,1.444563,1.44E-04,0
225,2.550148,1.962802,0,1.447047,1.41E-04,0
227,2.402013,1.965973,0,1.449332,1.37E-04,0
229,2.353961,1.969143,0,1.451616,1.33E-04,0
231,2.305909,1.972314,0,1.4539,1.30E-04,0
233,2.257857,1.975484,0,1.456185,1.26E-04,0
235,2.209805,1.978655,0,1.458469,1.23E-04,0
237,2.109519,1.982406,0,1.460753,1.19E-04,0
239,2.306226,1.987728,0,1.408045,1.15E-04,0
241,2.407769,1.992827,0,1.459835,1.12E-04,0
243,2.397579,1.998146,0,1.499607,1.08E-04,0
245,2.387366,2.00292,0,1.513716,1.04E-04,0
247,2.377897,2.007615,0,1.52846,1.92E-04,0
249,2.369211,2.013019,0,1.57266,1.92E-04,0
251,2.338159,2.034201,0,1.580047,1.92E-04,0
253,2.289454,2.096759,0,1.587435,1.92E-04,0
255,2.264933,2.163746,0,1.597461,1.91E-04,0
257,2.25145,2.196188,0,1.601341,3.40E-04,0
259,2.236088,2.230725,0,1.604184,3.42E-04,0
261,2.219012,2.235202,0,1.612755,3.45E-04,0
263,2.203207,2.236708,0,1.610417,3.46E-04,0
265,2.190389,2.234041,0,1.586956,3.47E-04,0
267,2.182712,2.230171,0,1.523989,3.49E-04,0
269,2.175035,2.2263,0,1.533155,3.52E-04,0
271,2.169774,2.224669,0,1.543164,3.80E-04,0
273,2.166929,2.225278,0,1.551758,3.80E-04,0
275,2.169202,2.225888,0,1.558861,3.80E-04,0
277,2.171789,2.226496,0,1.557667,3.80E-04,0
279,2.169215,2.227105,0,1.558042,3.80E-04,0
281,2.166363,2.226668,0,1.557249,3.80E-04,0
283,2.163583,2.226231,0,1.558266,3.80E-04,0
285,2.160209,2.225793,0,1.576503,3.80E-04,0
287,2.157866,2.225355,0,1.590768,3.80E-04,0
289,2.155268,2.22666,0,1.611966,4.77E-04,0
291,2.152356,2.22771,0,1.625199,4.83E-04,0
293,2.149455,2.228759,0,1.612201,4.89E-04,0
295,2.150711,2.232919,0,1.598796,4.95E-04,0
297,2.149935,2.232698,0,1.585246,5.02E-04,0
299,2.141933,2.226826,0,1.499714,5.08E-04,0
301,2.133708,2.219906,0,1.481256,5.24E-04,0
303,2.129972,2.27942,0,1.494941,5.99E-04,0
305,2.128096,2.316243,0,1.536314,6.74E-04,0
307,2.127608,2.312948,0,1.551449,8.09E-04,0
309,2.12712,2.299507,0,1.566584,8.84E-04,0
311,2.115105,2.294204,0,1.581714,8.99E-04,0
313,2.111802,2.304224,0,1.597849,9.14E-04,0
315,2.109329,2.31493,0,1.610515,9.29E-04,0
317,2.107687,2.323765,0,1.60935,9.44E-04,0
319,2.106886,2.336232,0,1.624163,9.82E-04,0
321,2.105111,2.34688,0,1.638977,1.02E-03,0
323,2.102365,2.355709,0,1.653791,1.06E-03,0
325,2.10335,2.366884,0,1.691412,1.15E-03,0
327,2.090785,2.368289,0,1.7094,1.24E-03,0
329,2.082001,2.359925,0,1.721341,1.13E-03,0
331,2.079064,2.371264,0,1.732521,1.13E-03,0
333,2.076126,2.448036,0,1.764733,1.14E-03,0
335,2.077691,2.453218,0,1.763125,1.14E-03,0
337,2.074878,2.464144,0,1.758051,1.78E-03,0
339,2.074449,2.473179,0,1.75333,1.80E-03,0
341,2.076404,2.480323,0,1.748962,1.82E-03,0
343,2.077234,2.490558,0,1.740604,1.84E-03,0
345,2.091275,2.505918,0,1.71638,1.86E-03,0
347,2.14042,2.479044,0,1.737443,1.88E-03,0
349,2.158021,2.454046,0,1.790686,1.94E-03,0
351,2.14613,2.434937,0,1.742342,2.03E-03,0
353,2.120377,2.561375,0,1.709954,2.03E-03,0
355,2.094459,2.6365,0,1.737117,2.03E-03,0
357,2.06853,2.639917,0,1.762491,2.02E-03,0
359,2.04109,2.640758,0,1.785952,2.01E-03,0
361,2.013654,2.640232,0,1.794131,2.00E-03,0
363,1.98634,2.639705,0,1.798232,1.99E-03,0
365,1.958958,2.640842,0,1.803582,1.99E-03,0
367,1.932166,2.641979,0,1.808933,1.98E-03,0
369,1.906415,2.727771,0,1.817606,2.28E-03,0
371,1.862793,3.073666,0,1.829427,2.33E-03,0
373,1.82737,3.12458,0,1.838119,2.35E-03,0
375,1.787658,3.123768,0,1.848346,2.36E-03,0
377,1.743272,3.122314,0,1.867293,2.34E-03,0
379,1.698576,3.120861,0,1.870659,2.33E-03,0
381,1.653879,3.119407,0,1.864823,2.32E-03,0
383,1.609182,3.117954,0,1.859422,2.30E-03,0
385,1.564485,3.111938,0,1.851303,2.29E-03,0
387,1.538101,3.101361,0,1.843183,2.28E-03,0
389,1.511716,3.090782,0,1.873217,2.27E-03,0
391,1.486282,3.079401,0,1.88228,2.25E-03,0
393,1.460847,3.06802,0,1.890168,2.24E-03,0
395,1.435413,3.056638,0,1.877247,2.23E-03,0
397,1.409251,3.045257,0,1.898991,2.21E-03,0
399,1.376305,2.952964,0,1.98691,2.24E-03,0
401,1.347434,2.950281,0,1.98856,2.32E-03,0
403,1.319721,2.947598,0,1.990209,2.44E-03,0
405,1.294028,2.944914,0,1.991859,2.44E-03,0
407,1.269196,2.942231,0,1.993508,2.44E-03,0
409,1.243487,2.93958,0,2.018433,2.55E-03,0
411,1.221659,2.951726,0,2.1441,3.10E-03,0
413,1.202856,2.978634,0,2.296985,4.15E-03,0
415,1.185899,2.976434,1.23E-04,2.500158,4.36E-03,0.000122855
417,1.162717,2.971886,1.25E-04,2.529539,4.87E-03,0.000124826
419,1.135813,2.965422,1.29E-04,2.573461,5.73E-03,0.000128769
421,1.108594,2.958242,1.33E-04,2.615,5.90E-03,0.000132517
423,1.081375,2.951063,1.40E-04,2.66036,6.08E-03,0.000139879
425,1.053941,2.943883,1.45E-04,2.663398,6.25E-03,0.000145367
427,1.026108,2.936703,1.47E-04,2.666259,6.42E-03,0.000147243
429,0.9982752,2.931221,1.49E-04,2.669121,6.60E-03,0.000149118
431,0.9704422,2.948451,1.51E-04,2.68124,6.67E-03,0.000150993
433,0.9426154,2.973553,1.55E-04,2.683481,6.75E-03,0.000154811
435,0.9146924,2.994673,1.58E-04,2.685588,6.82E-03,0.00015765
437,0.8866732,3.01181,1.60E-04,2.687563,6.89E-03,0.000159512
439,0.5944886,3.028418,1.61E-04,2.689538,7.20E-03,0.000161374
441,0.4825801,3.041103,1.62E-04,2.595162,7.57E-03,0.000162305
443,0.4825056,3.049871,1.62E-04,2.584976,7.95E-03,0.000162305
445,0.4841458,3.082129,1.66E-04,2.581903,8.32E-03,0.000165909
447,0.4876593,3.093504,1.68E-04,2.570799,8.58E-03,0.000167711
449,0.4913166,3.107472,1.68E-04,2.52777,8.65E-03,0.000167711
451,0.4958043,3.122381,1.68E-04,2.515313,8.73E-03,0.000167711
453,0.5057164,3.143794,1.68E-04,2.452512,7.55E-03,0.000167711
455,0.5061101,3.171664,1.73E-04,2.40477,7.75E-03,0.000173096
457,0.5079119,3.194335,1.77E-04,2.372945,7.63E-03,0.000176508
459,0.5114275,3.224206,0,2.356052,7.42E-03,0
461,0.5166571,3.261145,0,2.363066,7.21E-03,0
463,0.5203701,3.323838,0,2.470623,7.04E-03,0
465,0.5230561,3.365276,0,2.524266,7.26E-03,0
467,0.5256772,3.422377,0,2.700934,7.51E-03,0
469,0.5273142,3.465002,0,2.763803,7.55E-03,0
471,0.5287578,3.69136,0,2.808544,7.52E-03,0
473,0.5302419,3.96109,0,2.874281,7.48E-03,0
475,0.5314506,4.007691,0,2.881334,7.42E-03,0
477,0.5320567,4.049353,0,2.999939,7.37E-03,0
479,0.5375274,4.081329,0,3.105077,7.30E-03,0
481,0.5398054,4.1265,0,3.107187,7.24E-03,0
483,0.5432461,4.147141,5.88E-06,3.313953,7.18E-03,5.87719E-06
485,0.5467475,4.114755,1.76E-05,3.361245,7.12E-03,1.76316E-05
487,0.5496213,4.097706,2.94E-05,3.354361,7.05E-03,2.93859E-05
489,0.5545835,4.153271,4.11E-05,3.337749,6.91E-03,4.11403E-05
491,0.5613595,4.184074,5.29E-05,3.501155,6.78E-03,5.28947E-05
493,0.5705767,4.213011,6.46E-05,3.521485,6.61E-03,6.4649E-05
495,0.5945495,4.508688,7.64E-05,3.424186,6.45E-03,7.64034E-05
497,0.6032341,4.592932,8.82E-05,3.447136,6.30E-03,8.81578E-05
499,0.6113476,4.689489,9.99E-05,3.467817,6.25E-03,9.99122E-05
501,0.6221182,4.769,1.12E-04,3.486862,6.41E-03,0.000111667
503,0.635546,4.83215,1.23E-04,3.506632,6.58E-03,0.000123421
505,0.6548728,4.857833,1.35E-04,3.509132,6.73E-03,0.000135175
507,0.6858002,4.896647,1.47E-04,3.516254,0.0068729,0.00014693
509,0.6860977,4.920839,2.80E-04,3.533055,7.02E-03,0.000280366
511,0.698332,4.932775,4.89E-04,3.594065,7.17E-03,0.000488912
513,0.7078726,4.934238,6.83E-04,3.700084,7.34E-03,0.0006826
515,0.7164142,4.938711,7.56E-04,3.719969,7.30E-03,0.000756378
517,0.7257915,4.947765,7.44E-04,3.842011,4.93E-03,0.000744216
519,0.7365485,4.944228,7.30E-04,3.856662,4.76E-03,0.000730002
521,0.7462891,4.939283,7.16E-04,3.87112,4.63E-03,0.000715787
523,0.7560297,4.934258,7.02E-04,3.885578,4.49E-03,0.000701573
525,0.7508692,4.917234,7.03E-04,3.89744,4.41E-03,0.00070305
527,0.7485788,4.897378,7.05E-04,3.906426,4.32E-03,0.000704527
529,0.7498584,4.874774,7.06E-04,3.905094,4.23E-03,0.000706004
531,0.7511547,4.853781,7.07E-04,3.901702,4.21E-03,0.000707481
533,0.7524416,4.796251,5.55E-04,3.884518,4.50E-03,0.000554552
535,0.7492583,4.678772,5.18E-04,3.881579,4.65E-03,0.00051834
537,0.7509233,4.666113,4.82E-04,3.867579,4.75E-03,0.000482486
539,0.7505869,4.655605,4.47E-04,3.877943,5.77E-03,0.000446837
541,0.7473041,4.646811,4.11E-04,3.872751,6.48E-03,0.000411391
543,0.7441813,4.643016,7.16E-04,3.86985,7.45E-03,0.000716343
545,0.7270292,4.640392,7.02E-04,3.879977,8.54E-03,0.000702212
547,0.655334,4.635388,6.87E-04,3.874399,0.010006,0.000686832
549,0.615127,4.625511,6.82E-04,3.814059,1.09E-02,0.000681834
551,0.6043415,4.626155,6.72E-04,3.73236,1.11E-02,0.000671838
553,0.6102037,4.614684,6.62E-04,3.704425,1.12E-02,0.000661842
555,0.6145253,4.597736,6.52E-04,3.76405,1.13E-02,0.000651846
557,0.617366,4.574693,6.47E-04,3.818338,1.14E-02,0.000646848
559,0.6203545,4.549416,6.47E-04,3.826571,1.15E-02,0.000646848
561,0.6303574,4.528221,6.38E-04,3.825815,1.16E-02,0.00063804
563,0.6320518,4.492712,6.29E-04,3.90771,1.17E-02,0.000629233
565,0.6338149,4.48094,6.20E-04,3.905258,1.18E-02,0.000620425
567,0.6358181,4.485235,6.12E-04,3.910673,1.19E-02,0.000611618
569,0.6374364,4.466722,6.07E-04,3.913843,1.21E-02,0.000607214
571,0.6408433,4.436497,6.07E-04,3.776722,1.22E-02,0.000607214
573,0.6391844,4.449986,5.99E-04,3.771121,1.38E-02,0.000598518
575,0.6365894,4.466207,5.90E-04,3.767241,1.40E-02,0.000589823
577,0.6384536,4.493446,6.02E-04,3.765081,1.40E-02,0.000602408
579,0.6429682,4.525163,7.21E-04,3.763728,1.42E-02,0.000721032
581,0.6910478,4.555875,8.40E-04,3.774053,1.45E-02,0.000839655
583,0.8419354,4.588476,1.23E-03,3.906925,1.46E-02,0.001233613
585,0.9442435,4.614813,1.46E-03,3.958065,1.47E-02,0.001458602
587,0.999478,4.641137,1.68E-03,4.009579,1.48E-02,0.001683592
589,1.054713,4.659705,1.91E-03,4.020607,1.49E-02,0.001908581
591,1.109548,4.555792,2.13E-03,4.050091,1.51E-02,0.002133114
593,1.165139,4.554216,2.33E-03,4.05288,1.55E-02,0.002326918
595,1.307025,4.591476,2.49E-03,4.001667,1.55E-02,0.002490447
597,1.332901,4.609812,2.65E-03,3.96853,1.59E-02,0.002653976
599,1.358226,4.628149,2.82E-03,3.977299,1.68E-02,0.002817504
601,1.382042,4.673907,2.98E-03,3.987009,1.74E-02,0.002981033
603,1.424836,4.702846,3.14E-03,4.017303,0.0178892,0.003144562
605,1.4857,4.709598,3.31E-03,4.060899,1.84E-02,0.003308091
607,1.519604,4.70581,3.47E-03,4.073474,1.88E-02,0.003469458
609,1.555073,4.584639,3.63E-03,4.093847,1.93E-02,0.003630826
611,1.587352,4.585197,3.79E-03,4.113976,1.98E-02,0.003792193
613,1.629307,4.591553,4.34E-03,4.124743,0.0205512,0.004338722
615,1.669416,4.597899,4.89E-03,4.076576,2.13E-02,0.00488525
617,1.71575,4.604885,5.27E-03,4.031898,2.20E-02,0.005271862
619,1.765806,4.612463,5.98E-03,4.032071,2.31E-02,0.005978307
621,1.807403,4.61469,6.52E-03,4.032244,2.41E-02,0.006524835
623,1.840228,4.610327,7.07E-03,4.032487,2.62E-02,0.007071363
625,1.873267,4.613054,7.62E-03,4.032802,2.84E-02,0.007617892
627,1.906988,4.619914,8.16E-03,4.032776,3.06E-02,0.00816442
629,1.941176,4.630318,8.71E-03,4.032408,3.30E-02,0.008710949
631,1.975643,4.637969,9.26E-03,4.036206,3.42E-02,0.009257477
633,2.023433,4.641994,0.0093944,4.042149,3.39E-02,0.0093944
635,2.084648,4.641156,9.09E-03,4.048065,3.61E-02,0.009086961
637,2.145574,4.644002,8.78E-03,4.052338,3.83E-02,0.008779522
639,2.201165,4.651726,8.47E-03,4.058839,3.92E-02,0.008472084
641,2.250982,4.768138,8.16E-03,4.067282,0.0396325,0.008164645
643,2.300287,4.783851,7.86E-03,4.067157,3.96E-02,0.007857206
645,2.347901,4.785071,7.55E-03,4.069153,3.95E-02,0.007549767
647,2.393335,4.787004,7.24E-03,4.071763,3.94E-02,0.007242329
649,2.436905,4.790338,6.93E-03,4.074373,3.94E-02,0.00693489
651,2.479676,4.792962,6.69E-03,4.141799,3.93E-02,0.006693115
653,2.517023,4.795861,6.81E-03,4.088111,3.93E-02,0.006806829
655,2.556456,4.799035,6.92E-03,4.081805,3.92E-02,0.006920542
657,2.600491,4.796027,7.03E-03,4.082479,0.036153,0.007034255
659,2.644678,4.793017,5.40E-03,4.086281,3.84E-02,0.005397697
661,2.689459,4.805476,5.09E-03,4.082248,3.91E-02,0.005090258
663,2.735304,4.721982,4.78E-03,4.051503,3.86E-02,0.004782819
665,2.781973,4.670164,4.48E-03,4.05299,3.83E-02,0.00447538
667,2.828748,4.435311,4.17E-03,4.035067,3.79E-02,0.004167942
669,2.87631,4.273786,3.86E-03,4.040545,3.58E-02,0.003860503
671,2.924066,4.274922,3.55E-03,3.935589,3.27E-02,0.003553064
673,2.971752,4.276411,3.25E-03,3.939546,2.56E-02,0.003245625
675,2.986606,4.294295,2.94E-03,3.945208,2.49E-02,0.002938187
677,3.001757,4.345464,2.75E-03,3.950886,0.0241113,0.002747341
679,3.022804,4.311398,2.67E-03,3.969996,2.34E-02,0.002673089
681,3.044874,4.257775,2.60E-03,3.95381,0.0228678,0.002598836
683,3.062882,4.259277,2.52E-03,3.8405,2.28E-02,0.002524584
685,3.06503,4.251696,2.45E-03,3.679772,2.70E-02,0.002450331
687,3.067806,4.237817,2.38E-03,3.679663,2.68E-02,0.002376079
689,3.068434,4.160707,2.30E-03,3.677765,2.67E-02,0.002301826
691,3.077718,4.138665,2.23E-03,3.577613,2.46E-02,0.002227574
693,3.094962,4.125086,2.15E-03,3.552393,2.36E-02,0.002153321
695,3.091869,4.081819,2.08E-03,3.527953,2.39E-02,0.002079069
697,3.105994,4.080289,2.00E-03,3.526149,2.44E-02,0.002004816
699,3.122818,4.068685,1.93E-03,3.364897,2.14E-02,0.001930564
701,3.137023,4.053873,1.86E-03,3.389166,2.13E-02,0.001856312
703,3.148784,4.035833,1.89E-03,3.373164,2.14E-02,0.001889695
705,3.15313,4.022825,1.92E-03,3.35955,2.26E-02,0.001916888
707,3.143468,4.010116,1.92E-03,3.268726,2.25E-02,0.001923144
709,3.164425,4.0166,1.93E-03,3.145298,2.25E-02,0.001929401
711,3.173433,3.971645,2.56E-03,3.13551,2.27E-02,0.002555666
713,3.185296,3.909108,3.45E-03,3.139435,1.70E-02,0.003454976
715,3.197064,3.859153,3.24E-03,3.108822,1.69E-02,0.003242823
717,3.207166,3.810879,3.21E-03,3.029707,1.74E-02,0.003206376
719,3.215048,3.787526,3.13E-03,3.007516,1.79E-02,0.003133482
721,3.223966,3.766698,3.06E-03,2.996935,1.84E-02,0.003060588
723,3.232883,3.745889,2.99E-03,2.986354,1.89E-02,0.002987695
725,3.25297,3.721258,2.52E-03,2.997768,1.94E-02,0.002519989
727,3.273711,3.706142,2.17E-03,2.991421,1.99E-02,0.002172111
729,3.294425,3.732087,1.93E-03,2.962137,2.03E-02,0.001930224
731,3.315362,3.758031,1.69E-03,2.923215,2.06E-02,0.001688337
733,3.336308,3.783975,9.24E-04,2.99354,0.0211336,0.000924077
735,3.357222,3.825445,9.25E-04,3.022519,2.19E-02,0.000924822
737,3.377666,3.842839,6.58E-04,3.024797,2.27E-02,0.000658066
739,3.398619,3.862108,3.65E-04,3.013293,2.16E-02,0.000364674
741,3.414861,3.91107,4.14E-04,3.300474,2.39E-02,0.000413953
743,3.416522,4.005553,5.40E-04,3.35831,2.15E-02,0.000539972
745,3.417782,3.822767,6.17E-04,3.318785,1.47E-02,0.000617177
747,3.417092,3.851853,6.94E-04,3.287571,1.45E-02,0.000694382
749,3.416664,3.887201,7.72E-04,3.309839,1.44E-02,0.000771587
751,3.416229,3.912414,9.03E-04,3.249408,1.44E-02,0.000902721
753,3.413009,3.91973,1.03E-03,3.185247,0.014456,0.001033855
755,3.412913,3.925786,1.20E-03,3.152901,1.68E-02,0.00120148
757,3.415612,3.953408,1.36E-03,3.134232,1.78E-02,0.001359883
759,3.416407,4.016448,1.52E-03,3.111572,1.87E-02,0.001518286
761,3.409349,4.07544,1.68E-03,3.11256,1.97E-02,0.001676689
763,3.410478,4.120986,1.84E-03,3.121333,2.07E-02,0.00184145
765,3.412581,4.138039,2.00E-03,3.128849,2.14E-02,0.002002599
767,3.415494,4.148517,2.16E-03,3.135924,2.16E-02,0.002162879
769,3.418014,4.165751,2.30E-03,3.142998,2.20E-02,0.002296032
771,3.417925,4.189884,2.27E-03,3.150617,2.24E-02,0.002270763
773,3.414271,4.21393,2.14E-03,3.158782,2.28E-02,0.002141665
775,3.420196,4.238207,2.09E-03,3.169819,2.70E-02,0.002092233
777,3.438275,4.255076,2.04E-03,3.186609,2.68E-02,0.002043172
779,3.451558,4.44582,1.99E-03,3.208543,2.57E-02,0.001987697
781,3.411776,4.424322,1.93E-03,3.203369,2.67E-02,0.001932121
783,3.267997,4.378347,1.97E-03,3.183357,2.78E-02,0.001965085
785,3.171609,4.343182,2.00E-03,3.18322,2.88E-02,0.001998048
787,3.122189,4.333702,2.03E-03,3.149042,3.00E-02,0.002031027
789,3.072769,4.32209,2.04E-03,3.105147,3.03E-02,0.002041787
791,3.022798,4.305202,1.97E-03,3.204383,3.03E-02,0.001969412
793,2.979103,4.279276,1.96E-03,3.104498,3.08E-02,0.001960206
795,2.848972,4.253324,1.94E-03,3.09583,3.58E-02,0.001939088
797,2.835438,4.197695,1.90E-03,3.102293,3.64E-02,0.001898426
799,2.822564,4.163567,1.89E-03,3.10839,3.70E-02,0.00189054
801,2.81026,4.131899,1.89E-03,3.112435,3.75E-02,0.00188555
803,2.778588,4.120407,1.88E-03,3.114316,3.77E-02,0.00187859
805,2.723857,4.124924,1.84E-03,3.115958,3.82E-02,0.001837605
807,2.697815,4.129853,1.81E-03,3.117742,3.86E-02,0.001810569
809,2.674363,4.126966,1.78E-03,3.119526,3.90E-02,0.001783533
811,2.652005,4.116276,1.76E-03,3.149669,3.96E-02,0.001756497
813,2.614154,4.121135,1.75E-03,3.184166,4.00E-02,0.001753976
815,2.573511,4.125984,1.75E-03,3.193709,4.02E-02,0.00175107
817,2.532868,4.132463,1.75E-03,3.203195,4.04E-02,0.001748165
819,2.494389,4.136512,1.75E-03,3.208614,4.07E-02,0.001745259
821,2.466846,4.123177,1.74E-03,3.209936,4.12E-02,0.001742354
823,2.454082,4.094881,1.76E-03,3.206777,3.80E-02,0.001758953
825,2.44608,4.066236,1.78E-03,3.202025,3.31E-02,0.001775551
827,2.442374,4.044374,1.78E-03,3.191011,2.93E-02,0.001782757
829,2.444728,4.029744,1.78E-03,3.175398,2.93E-02,0.00178057
831,2.440972,4.014996,1.73E-03,3.182729,2.92E-02,0.001727726
833,2.418056,3.993814,1.75E-03,3.169043,2.91E-02,0.001749254
835,2.381811,3.948468,1.82E-03,3.17259,2.87E-02,0.001819738
837,2.348075,3.886574,1.72E-03,3.175737,2.60E-02,0.001715619
839,2.321711,3.853785,6.85E-04,3.209358,2.33E-02,0.000684513
841,2.309044,3.802823,3.30E-04,3.227596,1.85E-02,0.000329682
843,2.348886,3.793174,3.24E-04,3.258906,2.22E-02,0.00032371
845,2.342772,3.76916,3.11E-04,3.312727,2.56E-02,0.00031115
847,2.33114,3.66209,3.01E-04,3.308068,2.76E-02,0.00030119
849,2.326079,3.639756,2.91E-04,3.307854,2.65E-02,0.000291231
851,2.326651,3.710404,2.79E-04,3.306324,2.55E-02,0.000278671
853,2.341471,3.748001,2.68E-04,3.345713,2.46E-02,0.000267984
855,2.351957,3.793318,2.57E-04,3.338086,0.0258255,0.000257296
857,2.358028,3.846941,2.47E-04,3.363508,2.59E-02,0.000246609
859,2.35959,3.864702,2.38E-04,3.466058,2.60E-02,0.00023824
861,2.358226,3.895594,2.49E-04,3.466361,0.0349649,0.00024911
863,2.35498,3.9266,2.67E-04,3.531626,4.11E-02,0.000266658
865,2.378731,4.008623,2.93E-04,3.657401,4.08E-02,0.000293202
867,2.366132,4.099475,3.11E-04,3.803764,3.94E-02,0.000310781
869,2.337844,4.194312,3.46E-04,3.83821,0.0364394,0.000345845
